zipcode,med_income,pop
14039,66999,111
14040,65243,2161
14041,57063,136
14042,40743,4558
14043,58903,26003
14047,65173,6649
14048,43253,14395
14051,116023,21510
14052,83603,17129
14054,56723,1421
14055,62664,1364
14057,72748,8004
14058,70436,2194
14059,88837,9399
14060,43656,526
14062,56451,3033
14063,56046,14298
14065,43323,1688
14066,53182,1357
14067,55755,4942
14068,84724,7829
14069,64751,831
14070,45498,7665
14072,87524,21166
14075,72476,42573
14080,64654,4111
14081,53224,3554
14082,53439,394
14083,62690,124
14085,90376,8141
14086,79268,34024
14091,63234,1044
14092,72379,11162
14094,53894,49375
14098,60383,2940
14101,47590,1729
14102,96943,1267
14103,46895,10624
14105,57819,4221
14108,57172,5759
14109,107838,992
14111,64062,3288
14113,52792,652
14120,60785,44862
14125,54477,3682
14126,60687,230
14127,89491,31233
14129,51129,1305
14131,63519,5397
14132,69222,6012
14134,61350,172
14136,53987,4875
14138,48295,1979
14139,79030,2202
14141,55280,7794
14143,51618,1028
14145,62559,1466
14150,56365,40639
14166,48810,309
14167,63129,1529
14170,80785,2460
14171,52641,1960
14172,63926,3221
14174,69876,5585
14201,31151,11921
14202,47514,3633
14203,39329,2248
14204,26486,8800
14206,38483,19814
14207,26693,23468
14208,26037,10343
14209,35872,8104
14210,38294,14237
14211,25586,21133
14212,26404,10349
14213,31581,25252
14214,44461,20408
14215,33328,38143
14216,57425,21424
14217,56285,22769
14218,41191,19209
14219,55834,10958
14220,50620,23578
14221,87232,53938
14222,58859,11556
14223,64806,22619
14224,65492,40151
14225,53333,32624
14226,68431,29176
14227,54393,23183
14228,49874,24420
14260,6375,2463
14301,22606,12141
14303,27727,5488
14304,52121,29087
14305,35097,15938
14411,44023,13854
14414,65113,7232
14415,59917,109
14416,58489,3708
14418,59398,1332
14420,59211,20759
14422,59996,2400
14423,61177,4455
14424,62382,28382
14425,71910,11377
14427,53869,1883
14428,65171,8974
14432,60807,5409
14433,52970,4356
14435,65969,3179
14437,47730,9228
14441,51893,285
14445,55927,8944
14450,85536,41662
14454,50384,11241
14456,50144,19715
14462,62914,549
14464,60383,7121
14466,65508,1753
14467,83748,10037
14468,75734,18878
14469,67543,6119
14470,50032,7837
14471,69587,2653
14472,86248,8671
14475,68652,207
14476,57249,2126
14477,60045,1773
14478,66131,1273
14480,59030,840
14481,57128,1644
14482,54887,8477
14485,57735,3996
14486,65173,342
14487,67351,5887
14489,52061,7026
14502,70891,10623
14504,57055,1726
14505,61696,4797
